Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
155.770,10.763,-11.803,2.17134871935215e-06,4.6491233568164e-07,-4.6491233568164e-07
176.901,14.705,-10.369,2.47790135449602e-06,5.56682511063204e-07,-5.56682511063204e-07
209.587,17.121,-17.981,2.33415820392589e-06,5.26039112284069e-07,-5.26039112284069e-07
255.862,13.471,-29.153,2.40550739007949e-06,5.45550848536542e-07,-5.45550848536542e-07
292.817,26.662,-23.485,1.58886121372623e-06,3.49314374012545e-07,-3.49314374012545e-07
336.474,18.108,-16.995,1.54243637206925e-06,3.48159729097389e-07,-3.48159729097389e-07
374.292,32.944,-19.71,1.07910917598016e-06,2.42812130764958e-07,-2.42812130764958e-07
448.882,43.602,-41.647,9.73612684714213e-07,2.20808051699192e-07,-2.20808051699192e-07
531.167,41.552,-38.683,1.40875042556688e-06,3.12052946871872e-07,-3.12052946871872e-07
614.274,33.665,-41.555,1.40830537720904e-06,3.11016041037059e-07,-3.11016041037059e-07
698.171,37.524,-50.233,1.12366494284229e-06,2.53235588776143e-07,-2.53235588776143e-07
827.452,110.765,-91.757,7.4856539369215e-07,1.38362247033942e-07,-1.38362247033942e-07
4775.729,78.568,-101.959,1.75291846970563e-07,4.00905678969418e-08,-4.00905678969418e-08
4927.320,74.909,-73.023,2.13614378105747e-07,4.83539014096258e-08,-4.83539014096258e-08
5146.640,121.360,-144.41,2.35793937901273e-07,3.87261101888086e-08,-3.87261101888086e-08
5856.785,183.049,-167.976,2.2495392700132e-07,5.16183054326278e-08,-5.16183054326278e-08
6332.185,289.339,-292.351,2.15553593602021e-07,4.03248812986454e-08,-4.03248812986454e-08
11374.109,101.542,-91.522,1.32484043528567e-07,2.98324594697349e-08,-2.98324594697349e-08
11598.063,95.726,-122.411,8.58836427146309e-08,2.25953690468163e-08,-2.25953690468163e-08
11793.013,83.810,-99.224,1.01697203995344e-07,2.65046335128738e-08,-2.65046335128738e-08
12101.617,274.001,-224.794,7.23826817771431e-08,1.40611694394859e-08,-1.40611694394859e-08
17165.702,112.750,-183.114,6.87957189837513e-08,1.79546158408518e-08,-1.79546158408518e-08
17638.544,501.791,-360.092,2.40577528348894e-08,6.74225875051138e-09,-6.74225875051138e-09
22751.040,243.528,-308.083,3.25039797992684e-08,8.59314989495265e-09,-8.59314989495265e-09
23408.221,433.810,-413.652,3.84099323514498e-08,7.60128626267192e-09,-7.60128626267192e-09
28275.765,536.184,-664.813,2.55063950425087e-08,5.25137956694676e-09,-5.25137956694676e-09
41076.069,5724.373,-1791.666,9.14695271419557e-09,2.41934277553809e-09,-2.41934277553809e-09
122029.055,308562.501,-52658.449,9.18786324957325e-10,3.71760692923206e-10,-3.71760692923206e-10
