Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
3612.271,50.858,-41.913,6.79644405074085e-08,1.52979525554804e-08,-1.52979525554804e-08
3703.145,67.799,-40.015,5.60417069740659e-08,1.26003824793018e-08,-1.26003824793018e-08
3860.475,70.937,-89.531,3.48883597891784e-08,7.9052768218772e-09,-7.9052768218772e-09
3993.372,48.361,-61.96,4.84683234372429e-08,1.08736144168088e-08,-1.08736144168088e-08
4087.648,51.871,-45.914,5.27151741751123e-08,1.18004131169261e-08,-1.18004131169261e-08
4215.073,54.826,-75.554,3.74948534835362e-08,8.41177269912506e-09,-8.41177269912506e-09
4333.611,39.088,-63.712,4.85753446008074e-08,1.08856483589695e-08,-1.08856483589695e-08
4435.205,55.337,-62.506,4.61451778708582e-08,1.04096813449148e-08,-1.04096813449148e-08
4581.991,76.536,-91.449,4.05534942784688e-08,8.71553029794347e-09,-8.71553029794347e-09
4949.048,82.247,-99.515,5.73549546016456e-08,1.48742254148337e-08,-1.48742254148337e-08
5191.530,143.149,-160.235,5.86884854596579e-08,1.00016284539888e-08,-1.00016284539888e-08
9706.423,92.552,-178.237,1.42611345380684e-08,3.74224624098991e-09,-3.74224624098991e-09
9935.877,179.020,-136.902,1.19290506967175e-08,3.12074577795263e-09,-3.12074577795263e-09
10204.986,130.555,-90.088,1.65695625923613e-08,4.33034800308255e-09,-4.33034800308255e-09
10528.876,162.703,-193.335,1.07737121960224e-08,2.81278505127386e-09,-2.81278505127386e-09
10942.920,172.387,-251.341,1.05778757770861e-08,2.67210077654429e-09,-2.67210077654429e-09
14948.810,305.145,-264.016,1.62340575252636e-08,4.34333680977067e-09,-4.34333680977067e-09
15558.539,221.952,-304.584,1.97378365701088e-08,5.16431302866606e-09,-5.16431302866606e-09
16247.824,645.902,-467.332,1.68471802048238e-08,3.21041240438163e-09,-3.21041240438163e-09
20767.201,195.279,-383.91,1.04395518131946e-08,2.73283998667836e-09,-2.73283998667836e-09
21450.974,251.164,-488.494,7.64987176661756e-09,2.00836363962997e-09,-2.00836363962997e-09
22091.072,581.383,-388.934,5.50431333253133e-09,1.45349522682049e-09,-1.45349522682049e-09
26811.509,547.751,-655.76,3.39161157595838e-09,8.98500880953376e-10,-8.98500880953376e-10
27903.538,548.899,-544.277,3.57189661447949e-09,9.45702192652988e-10,-9.45702192652988e-10
32885.254,1345.438,-953.756,2.23376595130445e-09,4.61106941701966e-10,-4.61106941701966e-10
38859.650,1151.293,-1152.915,1.1457089562862e-09,3.07030414425432e-10,-3.07030414425432e-10
44491.609,1298.161,-1006.057,1.47510771800422e-09,3.22537121108119e-10,-3.22537121108119e-10
50824.575,746.030,-1565.701,1.07761278464142e-09,2.54197699767112e-10,-2.54197699767112e-10
65862.668,19012.950,-10675.578,4.36741586446791e-10,8.6618550214646e-11,-8.6618550214646e-11
