	Parameters	Values
0	Eta0	6.5689691941746915
1	GammaB	4.780666930172119
2	theta_obs	0.3095074705209946
3	E	-2.670114928583051
4	epsb	-1.9629550705489263
5	epse	-1.0414338551696565
6	n	2.152698069987229
7	p	3.4203282203980283
0	Redshift	5.7
1	Luminosity distance	15.657538907824883
2	ChiSquare	532.4505196566912
3	Dof	19.0
4	ChiSquareRed	28.023711560878485
