Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
14327.190,12.088,-15.493,4.43145733157267e-06,8.90463483007559e-07,-8.90463483007559e-07
14355.215,14.150,-15.938,3.65468593141715e-06,8.04245992581806e-07,-8.04245992581806e-07
14382.676,11.762,-13.311,4.84732584843742e-06,1.0622163079895e-06,-1.0622163079895e-06
14407.271,14.748,-12.833,3.96218178599655e-06,8.68251004199732e-07,-8.68251004199732e-07
14440.055,19.574,-18.036,2.39503514163557e-06,5.05838493637549e-07,-5.05838493637549e-07
14472.037,15.172,-12.409,2.52069358840478e-06,5.70323529289884e-07,-5.70323529289884e-07
14504.005,15.799,-16.796,2.37909478233578e-06,5.36696104698489e-07,-5.36696104698489e-07
14538.106,14.294,-18.301,2.66186796475088e-06,6.00486330874554e-07,-6.00486330874554e-07
14564.307,13.165,-11.908,2.89712502732956e-06,6.52593919253364e-07,-6.52593919253364e-07
14592.856,12.197,-15.383,2.38311525779137e-06,5.09437974841095e-07,-5.09437974841095e-07
14623.172,9.461,-18.119,2.41581085436375e-06,5.18503106308679e-07,-5.18503106308679e-07
14646.673,11.034,-14.04,2.85758336671447e-06,6.40851661869343e-07,-6.40851661869343e-07
14667.078,13.195,-9.371,3.83511781315294e-06,8.46331267106692e-07,-8.46331267106692e-07
14699.619,13.249,-19.347,3.7697378312832e-06,7.9209488385125e-07,-7.9209488385125e-07
14722.144,8.275,-9.276,7.0232345874971e-06,1.58202306247721e-06,-1.58202306247721e-06
14743.079,12.413,-12.66,4.09702797007123e-06,9.2424179680834e-07,-9.2424179680834e-07
14779.544,18.572,-24.052,1.85719089845612e-06,4.09843659326443e-07,-4.09843659326443e-07
14817.273,20.961,-19.156,2.26943632905986e-06,4.99409543796467e-07,-4.99409543796467e-07
14856.578,16.758,-18.345,3.29815106959376e-06,7.08828647487979e-07,-7.08828647487979e-07
14889.751,13.673,-16.415,2.80434974519428e-06,6.18862064889768e-07,-6.18862064889768e-07
14920.554,10.450,-17.131,1.99345812481532e-06,4.36224794577271e-07,-4.36224794577271e-07
14951.627,19.494,-20.623,1.0195749482449e-06,2.18830370768035e-07,-2.18830370768035e-07
14984.156,17.053,-13.035,1.39154083336486e-06,3.12530727559546e-07,-3.12530727559546e-07
15019.007,19.812,-17.798,1.25370457940801e-06,2.84079676190047e-07,-2.84079676190047e-07
15060.725,13.196,-21.907,1.6761343949684e-06,3.68330377368738e-07,-3.68330377368738e-07
15093.439,20.599,-19.518,1.7070947744726e-06,3.75133947077174e-07,-3.75133947077174e-07
15133.843,12.790,-19.805,2.4084066580916e-06,5.46536744340955e-07,-5.46536744340955e-07
15156.787,12.413,-10.153,3.55862046258424e-06,8.0397092151585e-07,-8.0397092151585e-07
15181.679,10.086,-12.48,4.1796161368782e-06,8.82747654555668e-07,-8.82747654555668e-07
15211.521,15.346,-19.756,2.55613081309101e-06,5.59353438922771e-07,-5.59353438922771e-07
15239.344,10.090,-12.476,4.17387059936242e-06,9.18496805583991e-07,-9.18496805583991e-07
15272.411,19.646,-22.978,2.08714262756766e-06,4.59940812958859e-07,-4.59940812958859e-07
15315.747,18.935,-23.69,1.33886355329782e-06,3.02478772249773e-07,-3.02478772249773e-07
15349.838,14.932,-15.156,1.53522309125736e-06,3.29503436283938e-07,-3.29503436283938e-07
15379.539,12.811,-14.769,2.52774468736508e-06,5.31810365093133e-07,-5.31810365093133e-07
15415.210,17.257,-22.86,2.78846817428124e-06,6.1449097431895e-07,-6.1449097431895e-07
15450.195,12.360,-17.728,5.03346985497607e-06,1.1045536457316e-06,-1.1045536457316e-06
15480.354,14.796,-17.799,4.70182600648506e-06,1.06067728959046e-06,-1.06067728959046e-06
15511.195,19.058,-16.044,3.64576320567404e-06,8.22441745535263e-07,-8.22441745535263e-07
15542.104,13.222,-11.851,3.77635093747301e-06,8.08348591033533e-07,-8.08348591033533e-07
15569.114,16.300,-13.788,2.47274998719863e-06,5.4262473733793e-07,-5.4262473733793e-07
15597.292,10.687,-11.879,3.75591101918767e-06,8.26521213285797e-07,-8.26521213285797e-07
15620.389,12.663,-12.41,3.51276536869625e-06,7.93611048955376e-07,-7.93611048955376e-07
15644.585,13.541,-11.532,3.34797760828707e-06,7.5082920466024e-07,-7.5082920466024e-07
15676.016,14.705,-17.89,2.64575226376721e-06,5.67855155083481e-07,-5.67855155083481e-07
15703.506,17.303,-12.784,2.90105636602036e-06,6.54444630785103e-07,-6.54444630785103e-07
15745.221,20.720,-24.412,2.52527703086509e-06,5.58063187123094e-07,-5.58063187123094e-07
15785.220,18.331,-19.279,3.52814273799913e-06,7.76399072398198e-07,-7.76399072398198e-07
15824.143,17.017,-20.593,3.97338410297913e-06,8.7192649349889e-07,-8.7192649349889e-07
15863.097,15.674,-21.936,3.6503752761921e-06,8.23482078020915e-07,-8.23482078020915e-07
15895.304,16.061,-16.534,3.98766756782028e-06,8.72613942017763e-07,-8.72613942017763e-07
15935.776,20.721,-24.41,2.60294205763899e-06,5.73606888750985e-07,-5.73606888750985e-07
15977.429,16.678,-20.932,2.75594241580022e-06,6.23550117875575e-07,-6.23550117875575e-07
16015.164,16.552,-21.057,2.59426199643041e-06,5.85235312160083e-07,-5.85235312160083e-07
16054.348,19.981,-22.631,4.10628118158784e-06,6.87736560805743e-07,-6.87736560805743e-07
20040.645,24.780,-22.859,1.75936012242239e-06,3.87698712917269e-07,-3.87698712917269e-07
20082.471,20.563,-17.047,2.11543876829146e-06,4.80036853368102e-07,-4.80036853368102e-07
20123.342,14.795,-20.308,2.31134313174886e-06,5.22941710106664e-07,-5.22941710106664e-07
20167.218,21.066,-29.08,1.63290577356928e-06,3.68900157721865e-07,-3.68900157721865e-07
20204.807,11.057,-16.524,4.32467109075515e-06,9.26946037620416e-07,-9.26946037620416e-07
20235.168,15.798,-19.304,3.93035928723438e-06,8.87932558479479e-07,-8.87932558479479e-07
20268.389,17.680,-17.423,3.56501498266873e-06,8.03025671655764e-07,-8.03025671655764e-07
20305.588,18.091,-19.519,2.43377504697337e-06,5.38584046026996e-07,-5.38584046026996e-07
20351.551,24.781,-27.873,1.34702327462696e-06,2.96418357604405e-07,-2.96418357604405e-07
20402.278,21.693,-25.946,1.56569335534064e-06,3.55815291473529e-07,-3.55815291473529e-07
20438.136,20.938,-14.165,2.33153843510571e-06,5.25956796834316e-07,-5.25956796834316e-07
20472.487,11.660,-13.413,2.99942019607589e-06,6.71671769115145e-07,-6.71671769115145e-07
20508.089,16.175,-23.942,1.65441721782608e-06,3.72112908239053e-07,-3.72112908239053e-07
20551.524,22.886,-27.26,1.40869672148988e-06,2.91450631701441e-07,-2.91450631701441e-07
20601.479,30.600,-27.069,1.03321902507837e-06,2.33765948902433e-07,-2.33765948902433e-07
20652.910,19.286,-20.832,1.57794937123052e-06,3.482113998183e-07,-3.482113998183e-07
20694.633,17.680,-22.437,1.42703839478074e-06,3.24304964160066e-07,-3.24304964160066e-07
20728.131,11.762,-15.818,2.10892639998289e-06,4.61489452168239e-07,-4.61489452168239e-07
20755.711,16.777,-15.818,1.54586213178246e-06,3.38748422657217e-07,-3.38748422657217e-07
20789.286,15.798,-16.797,1.00444437484809e-06,2.25589027899869e-07,-2.25589027899869e-07
20829.777,22.946,-24.693,4.37385615250238e-07,9.85218534948412e-08,-9.85218534948412e-08
20867.765,20.061,-15.042,3.92893945350015e-07,8.83700358137374e-08,-8.83700358137374e-08
20909.008,21.442,-21.183,3.97164130034337e-07,8.94619035211291e-08,-8.94619035211291e-08
20952.215,15.844,-21.765,7.03311366702913e-07,1.50546203756727e-07,-1.50546203756727e-07
20986.861,23.823,-18.801,7.49941074020706e-07,1.68183182629153e-07,-1.68183182629153e-07
21030.561,17.733,-19.877,1.30847828324833e-06,2.87533140021733e-07,-2.87533140021733e-07
21063.085,17.803,-14.792,2.13978805456114e-06,4.83413068940738e-07,-4.83413068940738e-07
21095.588,15.388,-14.7,3.81734524489642e-06,8.20396327459814e-07,-8.20396327459814e-07
21124.994,11.056,-14.017,4.32535783406402e-06,9.23395580699596e-07,-9.23395580699596e-07
21161.349,14.818,-25.299,2.00584366766782e-06,4.30505413274572e-07,-4.30505413274572e-07
21195.596,18.180,-19.429,1.67687373026379e-06,3.77718674375158e-07,-3.77718674375158e-07
21236.876,22.032,-23.099,1.39767149364111e-06,3.06275013330601e-07,-3.06275013330601e-07
21278.964,22.569,-20.055,1.35622894554997e-06,3.06846962511702e-07,-3.06846962511702e-07
