Times,Freqs,Fluxes,FluxErrs
8.916692E+04,2.000000E+18,2.043023E-04,4.608266E-05
8.934004E+04,2.000000E+18,1.656468E-04,3.683082E-05
8.946153E+04,2.000000E+18,2.053215E-04,4.621159E-05
8.958599E+04,2.000000E+18,2.027595E-04,4.480024E-05
8.972918E+04,2.000000E+18,1.841251E-04,4.153147E-05
8.984740E+04,2.000000E+18,2.235420E-04,5.047754E-05
8.994720E+04,2.000000E+18,2.440099E-04,5.497908E-05
9.012196E+04,2.000000E+18,1.419332E-04,3.056115E-05
9.025701E+04,2.000000E+18,3.104078E-04,6.787975E-05
9.034661E+04,2.000000E+18,1.877459E-04,4.226209E-05
9.046178E+04,2.000000E+18,2.340681E-04,3.775967E-05
9.380504E+04,2.000000E+18,2.295990E-04,5.189654E-05
9.397151E+04,2.000000E+18,2.792583E-04,6.333766E-05
9.412597E+04,2.000000E+18,5.858888E-04,1.313175E-04
9.424733E+04,2.000000E+18,2.882946E-04,6.485763E-05
9.434599E+04,2.000000E+18,1.620872E-04,3.664345E-05
9.442309E+04,2.000000E+18,1.378137E-04,3.092852E-05
9.451846E+04,2.000000E+18,1.153332E-04,2.528450E-05
9.460638E+04,2.000000E+18,1.803717E-04,4.038127E-05
9.466681E+04,2.000000E+18,2.112479E-04,4.735125E-05
9.475406E+04,2.000000E+18,1.266322E-04,2.852322E-05
9.483793E+04,2.000000E+18,1.848488E-04,4.153480E-05
9.492744E+04,2.000000E+18,1.177229E-04,2.667927E-05
9.502009E+04,2.000000E+18,1.525707E-04,3.457675E-05
9.509932E+04,2.000000E+18,1.877846E-04,4.234915E-05
9.518720E+04,2.000000E+18,9.636196E-05,2.305487E-05
9.528323E+04,2.000000E+18,1.645067E-04,3.875643E-05
9.536362E+04,2.000000E+18,8.893586E-05,2.141130E-05
9.546200E+04,2.000000E+18,7.851709E-05,2.092315E-05
9.555226E+04,2.000000E+18,1.153892E-04,2.660772E-05
