Times,Freqs,Fluxes,FluxErrs
6.375163E+03,2.000000E+18,2.777203E-04,6.253629E-05
6.391370E+03,2.000000E+18,7.524646E-04,1.608339E-04
6.408188E+03,2.000000E+18,8.549971E-04,1.875723E-04
6.427440E+03,2.000000E+18,1.110186E-03,2.503401E-04
6.448878E+03,2.000000E+18,2.018598E-03,4.526349E-04
6.470064E+03,2.000000E+18,1.646319E-03,3.701936E-04
6.492002E+03,2.000000E+18,1.107692E-03,2.420399E-04
6.517532E+03,2.000000E+18,1.037098E-03,2.216723E-04
6.537492E+03,2.000000E+18,1.031898E-03,2.260795E-04
6.561454E+03,2.000000E+18,9.362309E-04,2.099332E-04
6.581242E+03,2.000000E+18,1.645509E-03,3.517156E-04
6.600944E+03,2.000000E+18,8.608937E-04,1.943997E-04
6.621547E+03,2.000000E+18,1.092163E-03,2.389644E-04
6.652705E+03,2.000000E+18,6.448875E-04,1.418566E-04
6.676140E+03,2.000000E+18,1.255081E-03,2.518594E-04
8.069006E+03,2.000000E+18,1.184356E-03,2.594729E-04
8.100294E+03,2.000000E+18,8.821176E-04,1.808953E-04
8.133479E+03,2.000000E+18,9.250207E-04,2.029250E-04
8.162358E+03,2.000000E+18,7.384478E-04,1.512579E-04
8.189906E+03,2.000000E+18,5.891204E-04,1.232849E-04
8.221781E+03,2.000000E+18,4.163814E-04,8.899656E-05
8.253854E+03,2.000000E+18,3.590177E-04,8.106342E-05
8.279178E+03,2.000000E+18,3.283072E-04,7.392283E-05
8.305410E+03,2.000000E+18,4.544399E-04,9.942882E-05
8.335977E+03,2.000000E+18,3.116235E-04,6.694327E-05
8.372698E+03,2.000000E+18,3.113783E-04,6.991634E-05
8.405794E+03,2.000000E+18,5.324959E-04,1.209086E-04
8.446295E+03,2.000000E+18,1.124265E-03,2.469609E-04
8.491921E+03,2.000000E+18,2.138647E-03,4.862842E-04
8.525216E+03,2.000000E+18,2.783810E-03,6.082783E-04
8.549814E+03,2.000000E+18,3.133128E-03,6.900658E-04
8.583432E+03,2.000000E+18,1.146980E-03,2.604335E-04
8.623296E+03,2.000000E+18,1.739071E-03,3.731165E-04
8.651513E+03,2.000000E+18,1.129373E-03,2.553602E-04
8.709676E+03,2.000000E+18,8.004288E-04,1.509387E-04
1.212506E+04,2.000000E+18,4.354332E-04,9.591922E-05
1.216814E+04,2.000000E+18,8.068673E-04,1.807178E-04
1.220349E+04,2.000000E+18,7.479622E-04,1.686338E-04
1.225330E+04,2.000000E+18,1.164502E-03,2.553128E-04
1.229225E+04,2.000000E+18,1.336640E-03,2.993733E-04
1.233362E+04,2.000000E+18,1.516879E-03,3.431278E-04
1.237998E+04,2.000000E+18,7.227381E-04,1.589571E-04
1.245083E+04,2.000000E+18,2.422528E-04,5.470829E-05
1.251377E+04,2.000000E+18,2.924524E-04,6.550189E-05
1.257232E+04,2.000000E+18,3.620279E-04,7.962347E-05
1.262271E+04,2.000000E+18,6.014351E-04,1.358229E-04
1.266270E+04,2.000000E+18,6.548485E-04,1.478854E-04
1.272070E+04,2.000000E+18,6.058378E-04,1.046076E-04
1.408477E+04,2.000000E+18,9.911493E-04,2.223186E-04
1.413627E+04,2.000000E+18,1.140877E-03,2.489599E-04
1.418379E+04,2.000000E+18,1.450314E-03,3.183690E-04
1.422869E+04,2.000000E+18,3.868655E-03,8.479748E-04
1.426742E+04,2.000000E+18,1.502540E-03,3.386086E-04
1.431482E+04,2.000000E+18,9.679951E-04,2.181450E-04
1.436002E+04,2.000000E+18,4.751602E-04,1.039963E-04
1.445169E+04,2.000000E+18,1.729489E-04,2.946918E-05
1.789784E+04,2.000000E+18,9.855633E-04,2.185998E-04
1.798603E+04,2.000000E+18,4.840428E-04,1.097876E-04
1.806703E+04,2.000000E+18,5.992376E-04,1.316508E-04
1.812804E+04,2.000000E+18,2.770673E-04,6.078848E-05
1.818174E+04,2.000000E+18,6.889807E-04,1.547171E-04
1.823656E+04,2.000000E+18,4.863440E-04,1.072848E-04
1.831801E+04,2.000000E+18,6.686368E-04,1.499358E-04
1.837643E+04,2.000000E+18,1.356479E-03,3.050434E-04
1.842031E+04,2.000000E+18,1.022213E-03,2.315199E-04
1.849395E+04,2.000000E+18,6.515910E-04,1.392778E-04
1.855283E+04,2.000000E+18,6.628435E-04,1.484262E-04
1.860311E+04,2.000000E+18,4.537902E-04,9.996754E-05
1.866277E+04,2.000000E+18,2.967067E-04,6.643961E-05
1.874838E+04,2.000000E+18,1.750945E-04,3.943113E-05
1.882343E+04,2.000000E+18,2.015328E-04,4.318901E-05
1.890071E+04,2.000000E+18,2.439086E-04,4.646988E-05
1.989333E+04,2.000000E+18,3.211302E-04,7.260694E-05
1.995790E+04,2.000000E+18,5.423123E-04,1.222073E-04
2.002205E+04,2.000000E+18,4.950560E-04,1.087147E-04
2.009855E+04,2.000000E+18,3.857854E-04,8.693477E-05
2.019655E+04,2.000000E+18,3.811593E-04,7.684151E-05
3.511544E+04,2.000000E+18,1.464988E-04,3.320539E-05
3.520935E+04,2.000000E+18,1.306447E-04,2.962240E-05
3.529071E+04,2.000000E+18,1.735483E-04,3.711720E-05
3.536306E+04,2.000000E+18,2.118769E-04,4.754140E-05
3.544028E+04,2.000000E+18,1.878425E-04,4.214850E-05
3.551061E+04,2.000000E+18,2.739926E-04,6.169292E-05
3.559936E+04,2.000000E+18,1.474988E-04,3.332718E-05
3.568048E+04,2.000000E+18,1.892498E-04,4.261200E-05
3.578274E+04,2.000000E+18,1.640884E-04,3.616403E-05
3.586790E+04,2.000000E+18,1.990173E-04,4.481129E-05
3.597346E+04,2.000000E+18,2.214734E-04,4.958006E-05
3.604454E+04,2.000000E+18,4.230660E-04,9.470953E-05
3.613116E+04,2.000000E+18,2.746225E-04,6.241375E-05
3.628334E+04,2.000000E+18,4.194188E-04,7.255778E-05
4.079620E+04,2.000000E+18,1.211261E-04,2.711613E-05
4.088019E+04,2.000000E+18,1.193551E-04,2.678196E-05
4.097911E+04,2.000000E+18,1.058389E-04,2.386035E-05
4.107300E+04,2.000000E+18,7.702792E-05,1.734489E-05
4.116302E+04,2.000000E+18,1.231528E-04,2.769871E-05
4.124288E+04,2.000000E+18,1.435780E-04,3.229262E-05
4.134316E+04,2.000000E+18,1.425155E-04,3.220418E-05
4.144520E+04,2.000000E+18,1.314450E-04,2.959832E-05
4.156390E+04,2.000000E+18,1.439285E-04,3.161769E-05
4.164893E+04,2.000000E+18,1.385573E-04,3.123639E-05
4.176540E+04,2.000000E+18,2.068872E-04,4.674361E-05
4.188762E+04,2.000000E+18,2.726791E-04,6.125186E-05
4.205772E+04,2.000000E+18,2.401674E-04,4.583466E-05
4.658101E+04,2.000000E+18,2.088979E-04,4.720811E-05
4.669384E+04,2.000000E+18,2.187453E-04,4.908526E-05
4.680016E+04,2.000000E+18,2.487460E-04,5.588286E-05
4.690885E+04,2.000000E+18,1.468734E-04,3.307410E-05
4.707194E+04,2.000000E+18,2.614168E-04,5.940538E-05
4.722815E+04,2.000000E+18,4.193189E-04,9.485105E-05
4.735289E+04,2.000000E+18,1.757631E-04,3.948663E-05
4.748264E+04,2.000000E+18,9.883256E-05,2.249438E-05
4.765701E+04,2.000000E+18,1.095926E-04,2.478734E-05
4.783066E+04,2.000000E+18,9.018264E-05,1.538768E-05
5.243914E+04,2.000000E+18,1.205507E-04,2.740461E-05
5.263314E+04,2.000000E+18,7.804792E-05,2.070052E-05
5.279907E+04,2.000000E+18,1.972585E-04,4.348119E-05
5.292093E+04,2.000000E+18,2.355960E-04,5.305317E-05
5.304980E+04,2.000000E+18,1.972977E-04,4.453375E-05
5.318645E+04,2.000000E+18,2.390752E-04,5.364707E-05
5.331933E+04,2.000000E+18,1.509422E-04,3.415110E-05
5.351818E+04,2.000000E+18,2.141884E-04,3.657105E-05
5.805204E+04,2.000000E+18,3.215313E-04,7.274295E-05
5.818079E+04,2.000000E+18,2.362078E-04,5.325141E-05
5.831480E+04,2.000000E+18,1.467839E-04,3.316920E-05
5.846712E+04,2.000000E+18,1.065096E-04,2.401184E-05
5.859612E+04,2.000000E+18,1.745424E-04,3.962824E-05
5.873051E+04,2.000000E+18,2.050075E-04,4.621752E-05
5.887117E+04,2.000000E+18,2.111267E-04,4.759703E-05
5.902399E+04,2.000000E+18,1.994363E-04,4.496150E-05
5.925090E+04,2.000000E+18,2.373458E-04,4.002329E-05
6.429137E+04,2.000000E+18,2.666112E-04,5.850650E-05
6.441985E+04,2.000000E+18,2.363388E-04,5.353846E-05
6.459462E+04,2.000000E+18,1.899515E-04,4.230223E-05
6.476071E+04,2.000000E+18,2.274090E-04,5.121102E-05
6.496421E+04,2.000000E+18,2.261214E-04,3.656066E-05
7.039781E+04,2.000000E+18,1.212435E-04,2.739511E-05
7.057946E+04,2.000000E+18,8.416232E-05,1.919542E-05
7.080492E+04,2.000000E+18,9.397470E-05,1.909430E-05
8.244207E+04,2.000000E+18,1.087771E-04,2.341347E-05
8.261271E+04,2.000000E+18,6.667017E-05,1.657683E-05
1.049025E+05,2.000000E+18,1.380863E-04,3.119834E-05
