Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
89166.919,63.941,-46.381,2.04302272542084e-07,4.60826580386138e-08,-4.60826580386138e-08
89340.037,46.277,-109.177,1.65646754128761e-07,3.68308241744596e-08,-3.68308241744596e-08
89461.526,52.661,-75.212,2.05321536902562e-07,4.62115875965386e-08,-4.62115875965386e-08
89585.994,71.111,-71.806,2.02759463317913e-07,4.48002443351075e-08,-4.48002443351075e-08
89729.178,70.844,-72.074,1.841251134104e-07,4.15314669854029e-08,-4.15314669854029e-08
89847.404,60.432,-47.382,2.2354203850707e-07,5.04775397564717e-08,-5.04775397564717e-08
89947.195,58.426,-39.359,2.44009855420895e-07,5.49790790665164e-08,-5.49790790665164e-08
90121.957,86.758,-116.335,1.41933185568522e-07,3.05611505306779e-08,-3.05611505306779e-08
90257.007,36.957,-48.292,3.10407842062952e-07,6.78797456094976e-08,-6.78797456094976e-08
90346.611,40.123,-52.648,1.87745925602801e-07,4.22620885054612e-08,-4.22620885054612e-08
90461.782,70.375,-75.048,2.34068086494009e-07,3.77596665829625e-08,-3.77596665829625e-08
93805.036,64.571,-68.317,2.29599027612327e-07,5.18965398721553e-08,-5.18965398721553e-08
93971.505,101.194,-101.899,2.79258282592807e-07,6.33376609275517e-08,-6.33376609275517e-08
94125.971,67.080,-53.271,5.8588881350463e-07,1.31317532308292e-07,-1.31317532308292e-07
94247.329,46.014,-54.278,2.88294562105168e-07,6.4857625062928e-08,-6.4857625062928e-08
94345.992,45.136,-52.649,1.6208723126825e-07,3.66434477273865e-08,-3.66434477273865e-08
94423.094,40.746,-31.966,1.37813673555278e-07,3.09285216782212e-08,-3.09285216782212e-08
94518.459,45.674,-54.619,1.1533319985922e-07,2.52844970727784e-08,-2.52844970727784e-08
94606.379,30.466,-42.246,1.80371682859033e-07,4.03812742971798e-08,-4.03812742971798e-08
94666.806,37.737,-29.961,2.11247931154197e-07,4.73512456254368e-08,-4.73512456254368e-08
94754.056,53.287,-49.513,1.26632171037192e-07,2.85232151397639e-08,-2.85232151397639e-08
94837.929,34.604,-30.587,1.84848848766842e-07,4.15348037046929e-08,-4.15348037046929e-08
94927.439,47.894,-54.906,1.17722912745231e-07,2.66792665978095e-08,-2.66792665978095e-08
95020.086,40.496,-44.753,1.52570736485782e-07,3.45767475139392e-08,-3.45767475139392e-08
95099.318,36.483,-38.736,1.8778455614546e-07,4.23491532398597e-08,-4.23491532398597e-08
95187.196,66.449,-51.395,9.63619598286675e-08,2.30548727900154e-08,-2.30548727900154e-08
95283.230,28.083,-29.585,1.6450668755031e-07,3.87564311199665e-08,-3.87564311199665e-08
95363.621,40.464,-52.307,8.89358567879053e-08,2.14112959529439e-08,-2.14112959529439e-08
95461.999,39.871,-57.915,7.85170877921064e-08,2.09231532989234e-08,-2.09231532989234e-08
95552.264,34.854,-50.395,1.15389231300613e-07,2.66077246016028e-08,-2.66077246016028e-08
95628.236,31.595,-41.117,1.52359580615839e-07,3.42763293954719e-08,-3.42763293954719e-08
95712.849,43.994,-53.018,2.00256412816341e-07,4.43651340822547e-08,-4.43651340822547e-08
95782.291,24.698,-25.448,3.20605414907645e-07,7.27473981362455e-08,-7.27473981362455e-08
95882.804,83.805,-75.815,2.40420401463296e-07,4.23175227484788e-08,-4.23175227484788e-08
99533.921,35.981,-29.209,3.83856130302188e-07,8.61467092307814e-08,-8.61467092307814e-08
99603.247,44.382,-33.344,2.96757355275706e-07,6.68440459471172e-08,-6.68440459471172e-08
99696.018,41.875,-48.388,1.99391553702351e-07,4.53563909343762e-08,-4.53563909343762e-08
99782.520,40.621,-44.627,1.92579261801636e-07,4.33781252410453e-08,-4.33781252410453e-08
99874.661,56.295,-51.52,2.49032979813903e-07,5.60187824671475e-08,-5.60187824671475e-08
99982.477,53.786,-51.521,2.64581408064285e-07,5.93033621388183e-08,-5.93033621388183e-08
100097.425,66.523,-61.162,2.11249802756658e-07,4.74084711549389e-08,-4.74084711549389e-08
100419.615,177.296,-255.667,1.31372152497731e-07,3.32929423398998e-08,-3.32929423398998e-08
100697.841,113.694,-100.93,1.63218945187792e-07,4.21506760855538e-08,-4.21506760855538e-08
151424.665,48.896,-53.904,1.30983434250893e-07,2.95047234204429e-08,-2.95047234204429e-08
151566.743,52.242,-93.182,9.78901438977049e-08,2.16124373668271e-08,-2.16124373668271e-08
151677.024,69.833,-58.039,1.09132760463589e-07,2.44924615451441e-08,-2.44924615451441e-08
151803.391,101.428,-56.533,1.23157434602407e-07,2.78410659728959e-08,-2.78410659728959e-08
151955.975,64.179,-51.157,2.13000356387199e-07,4.7233203561447e-08,-4.7233203561447e-08
152091.107,59.428,-70.953,1.10333779495784e-07,2.48514383645822e-08,-2.48514383645822e-08
152201.555,51.780,-51.019,1.26700734594728e-07,2.85751290986658e-08,-2.85751290986658e-08
152320.150,56.043,-66.815,1.22578651837735e-07,2.7543821266147e-08,-2.7543821266147e-08
152423.455,27.958,-47.261,2.28187370631794e-07,5.10865633281606e-08,-5.10865633281606e-08
152500.052,46.638,-48.64,1.50172704751216e-07,3.37856922474682e-08,-3.37856922474682e-08
152601.550,42.926,-54.86,1.16418012713907e-07,2.55231028614868e-08,-2.55231028614868e-08
152697.753,49.523,-53.277,9.47619920847858e-08,2.13194563203134e-08,-2.13194563203134e-08
152793.896,66.209,-46.62,1.37913720824781e-07,3.0484781469221e-08,-3.0484781469221e-08
152921.280,51.655,-61.175,2.33336441382568e-07,5.23672512367884e-08,-5.23672512367884e-08
153018.942,34.227,-46.007,3.15148619022451e-07,7.06417299348254e-08,-7.06417299348254e-08
153105.318,48.143,-52.15,2.19885467248699e-07,4.95913200789159e-08,-4.95913200789159e-08
153190.316,50.901,-36.855,2.23204370984955e-07,5.00933274873419e-08,-5.00933274873419e-08
153301.598,64.977,-60.381,1.85470435800284e-07,3.8091313267489e-08,-3.8091313267489e-08
203375.749,105.650,-119.668,7.13092788328602e-08,1.62466391253435e-08,-1.62466391253435e-08
203558.367,83.500,-76.968,8.59801280015054e-08,1.93688567712255e-08,-1.93688567712255e-08
203716.830,65.446,-74.964,1.74493780208065e-07,3.91626748423345e-08,-3.91626748423345e-08
203851.475,68.704,-69.198,2.86998640850284e-07,6.48133471731462e-08,-6.48133471731462e-08
203968.567,84.499,-48.388,2.74597538720267e-07,6.22450128365174e-08,-6.22450128365174e-08
204137.929,100.678,-84.863,1.26904994864064e-07,2.8659158428643e-08,-2.8659158428643e-08
204316.201,97.919,-77.593,9.67899078480574e-08,2.18039810949584e-08,-2.18039810949584e-08
204493.693,63.343,-79.574,1.20195216761439e-07,2.6539997982391e-08,-2.6539997982391e-08
204686.528,101.182,-129.491,9.71918466768284e-08,2.21650909528699e-08,-2.21650909528699e-08
204852.017,98.669,-64.307,9.40483470707595e-08,2.12390903134577e-08,-2.12390903134577e-08
205026.276,57.297,-75.591,1.14557816504692e-07,2.59676403497181e-08,-2.59676403497181e-08
205182.484,69.076,-98.911,9.07203883929115e-08,2.05642364356447e-08,-2.05642364356447e-08
250057.040,92.524,-85.495,1.10891364176865e-07,2.51972591048983e-08,-2.51972591048983e-08
250261.238,83.896,-111.674,1.08010567848395e-07,2.26666192641369e-08,-2.26666192641369e-08
250442.186,123.591,-97.052,6.61275191422908e-08,1.53088659481096e-08,-1.53088659481096e-08
250668.151,90.690,-102.373,4.77247110618096e-08,1.24855882503428e-08,-1.24855882503428e-08
250847.596,56.669,-88.755,8.87521478979906e-08,2.01918121248217e-08,-2.01918121248217e-08
250978.854,105.938,-74.589,5.96038474742583e-08,1.51798347786945e-08,-1.51798347786945e-08
251172.669,55.040,-87.877,1.02795569262563e-07,2.3242004735127e-08,-2.3242004735127e-08
251319.220,89.015,-91.512,9.78576308010386e-08,2.21529785262773e-08,-2.21529785262773e-08
251484.705,66.447,-76.47,1.53372578570564e-07,3.45064894466388e-08,-3.45064894466388e-08
251620.351,68.703,-69.199,1.87585400782691e-07,4.24655002416907e-08,-4.24655002416907e-08
251887.116,132.893,-198.061,1.1418774277711e-07,2.18277145765205e-08,-2.18277145765205e-08
255312.354,74.473,-96.024,8.4753607912862e-08,2.21160641592265e-08,-2.21160641592265e-08
255532.750,127.372,-145.923,9.30145630729673e-08,1.81339312717087e-08,-1.81339312717087e-08
284097.808,69.456,-78.476,2.06326733682704e-07,4.67043938013024e-08,-4.67043938013024e-08
284311.088,101.892,-143.825,9.3029476115083e-08,2.4660193677184e-08,-2.4660193677184e-08
284484.139,124.412,-71.159,1.23337146933672e-07,3.05700590525054e-08,-3.05700590525054e-08
284692.374,94.196,-83.823,8.72338288565259e-08,2.28198814235935e-08,-2.28198814235935e-08
284891.625,75.473,-105.054,6.27204200245436e-08,1.65158875735693e-08,-1.65158875735693e-08
285060.613,102.055,-93.516,7.86251847929596e-08,1.7710440368035e-08,-1.7710440368035e-08
285234.499,88.638,-71.831,1.32601168391187e-07,2.99420118459743e-08,-2.99420118459743e-08
285423.047,90.646,-99.91,1.611869865479e-07,3.65315122715682e-08,-3.65315122715682e-08
285659.194,77.650,-145.501,7.87927241497676e-08,2.06117378354811e-08,-2.06117378354811e-08
285842.899,84.502,-106.054,7.37236532150826e-08,1.92540441996533e-08,-1.92540441996533e-08
