READ TERR 1 2
! xrtwtslewflux
88.0767868943761	1.20644616894795	-1.42128888336686	3.2847309125321e-05	4.90872693484473e-06	-4.90872693484473e-06
90.4293794005619	1.28597660854761	-1.14614633723788	3.839216546222e-05	5.91415709077967e-06	-5.91415709077967e-06
93.7440115182076	2.17994249180217	-2.02865550909813	3.87288474907318e-05	5.47515614556147e-06	-5.47515614556147e-06
NO NO NO NO NO NO
! xrtwtslewgamma
88.0767868943761	1.20644616894795	-1.42128888336686	1.7642195611331	0.163956645142942	-0.138710246573597
90.4293794005619	1.28597660854761	-1.14614633723788	1.7642195611331	0.163956645142942	-0.138710246573597
93.7440115182076	2.17994249180217	-2.02865550909813	1.7642195611331	0.163956645142942	-0.138710246573597
NO NO NO NO NO NO
! xrtwtflux
108.192	3.601	-2.583	1.38382311349928e-05	2.18022906718075e-06	-2.18022906718075e-06
115.307	3.557	-3.513	1.67995511933104e-05	2.56971672936136e-06	-2.56971672936136e-06
122.143	3.683	-3.279	2.25746850587887e-05	3.46020434115581e-06	-3.46020434115581e-06
128.578	4.143	-2.753	2.24049229584231e-05	3.44287856143617e-06	-3.44287856143617e-06
135.837	3.202	-3.116	1.06301677766916e-05	2.07669295037916e-06	-2.07669295037916e-06
142.163	2.729	-3.124	9.26617757510885e-06	1.84557865303314e-06	-1.84557865303314e-06
148.153	4.347	-3.26	1.17168110963285e-05	2.29001849921901e-06	-2.29001849921901e-06
155.768	2.713	-3.268	2.59543798837513e-05	5.22419618843367e-06	-5.22419618843367e-06
NO NO NO NO NO NO
! xrtwtgamma
108.192	3.601	-2.583	1.98731112670733	0.307587645096258	-0.244370564010234
115.307	3.557	-3.513	1.82209905119427	0.182407933713391	-0.144960678239104
122.143	3.683	-3.279	1.67270077068876	0.179982329336437	-0.143528811002974
128.578	4.143	-2.753	1.68752578309381	0.186949863086251	-0.14865392939463
135.837	3.202	-3.116	1.88637702374758	0.200923583373457	-0.155208301772419
142.163	2.729	-3.124	1.9694694967416	0.255788580967785	-0.196603485208408
148.153	4.347	-3.26	1.72003454855683	0.196940036614767	-0.150416224941656
155.768	2.713	-3.268	1.4171061994981	0.253191895502865	-0.191566795828354
NO NO NO NO NO NO
! xrtpcflux
179.044	11.158	-8.901	2.28996073129805e-05	5.14903057144215e-06	-5.14903057144215e-06
203.100	9.668	-12.898	1.31695438717396e-05	2.82196707673299e-06	-2.82196707673299e-06
230.040	15.323	-17.273	4.94985201295743e-06	1.10989477965451e-06	-1.10989477965451e-06
262.958	20.014	-17.596	2.58621548919485e-06	5.67351765928673e-07	-5.67351765928673e-07
297.962	20.113	-14.99	4.10394603942455e-06	9.21498805734848e-07	-9.21498805734848e-07
339.856	30.873	-21.781	4.31155948193145e-06	9.69464251252174e-07	-9.69464251252174e-07
415.294	53.220	-44.566	2.58664149420457e-06	5.82423747500843e-07	-5.82423747500843e-07
498.889	39.830	-30.375	2.51826889080943e-06	5.66239006308886e-07	-5.66239006308886e-07
576.506	32.418	-37.787	2.1276164336484e-06	4.79735652969495e-07	-4.79735652969495e-07
636.633	39.988	-27.71	2.28097171299802e-06	5.172025271583e-07	-5.172025271583e-07
722.333	42.045	-45.711	1.8504232808354e-06	4.18988974473722e-07	-4.18988974473722e-07
836.725	75.579	-72.348	1.67984433720059e-06	3.09554015010563e-07	-3.09554015010563e-07
6908.484	266.492	-395.435	7.22951380349148e-08	1.51928776460298e-08	-1.51928776460298e-08
14534.047	4108.529	-2156.091	4.33191302705903e-08	8.45321907711144e-09	-8.45321907711144e-09
52520.757	34474.100	-12337.778	1.41300911287949e-08	2.94223286846709e-09	-2.94223286846709e-09
NO NO NO NO NO NO
! xrtpcgamma
179.044	11.158	-8.901	1.24006846393956	0.417996963512213	-0.302764841922982
203.100	9.668	-12.898	1.51439682880712	0.281245492582236	-0.203720686667237
230.040	15.323	-17.273	1.78543468504831	0.227113702659685	-0.167632964598841
262.958	20.014	-17.596	2.07646259843875	0.310047668513095	-0.23179412688526
297.962	20.113	-14.99	1.8494563412186	0.234703406004231	-0.173422772501655
339.856	30.873	-21.781	1.608404241168	0.267515258481793	-0.192308311918757
415.294	53.220	-44.566	1.55423005284129	0.265467661754616	-0.190573693806785
498.889	39.830	-30.375	1.74637750852937	0.262858980864226	-0.192094182508691
576.506	32.418	-37.787	1.83566069429403	0.283031853248	-0.207512129328074
636.633	39.988	-27.71	1.81472351116467	0.220801526138122	-0.163895028259343
722.333	42.045	-45.711	1.78807013515362	0.243549504378076	-0.185008912600767
836.725	75.579	-72.348	1.78172734242045	0.272556988992991	-0.207379996432794
6908.484	266.492	-395.435	1.8795586547842	0.255069150450708	-0.190479407438916
14534.047	4108.529	-2156.091	1.9140262438817	0.333968111324903	-0.249195777183278
52520.757	34474.100	-12337.778	1.90392810063214	0.30860229992404	-0.230247726486563
