	Parameters	Values
0	Eta0	7.491816583278573
1	GammaB	5.339704929571955
2	theta_obs	0.4040901259439684
3	E	-0.9709184066559685
4	epsb	-1.5859684517725892
5	epse	-2.08397469014353
6	n	-0.7254622012223471
7	p	3.396447443263152
0	ChiSquare	2825.7225666726463
1	Dof	179.0
2	ChiSquareRed	15.78615959034998
