Times,TimeBnds,Fluxes,FluxErrs,Freqs
8057.345,23.079,5.93246750972446e-11,1.3326967567591201e-11,2e+17
8112.2609999999995,35.232,6.570370727876849e-11,1.47371815349893e-11,2e+18
8200.076,47.02,6.325560479550999e-11,1.0947402717873e-11,2e+18
12415.677,46.782,2.2099065363572397e-11,4.96526818931717e-12,2e+18
12578.296,114.835,2.09375183879923e-11,3.5228225188057403e-12,2e+18
18338.316000000003,75.917,1.96590716827264e-11,4.329180401369951e-12,2e+18
18498.438000000002,56.205,1.89862379597414e-11,4.26800608924823e-12,2e+18
18630.061999999998,57.468,2.13214793118018e-11,4.80316320841853e-12,2e+18
18755.436999999998,67.488,2.15017255363312e-11,4.869690879803629e-12,2e+18
18889.685,86.186,1.7664394906340198e-11,3.98356027721883e-12,2e+18
19034.013,64.717,1.99446106022284e-11,4.48821277789294e-12,2e+18
19158.123,58.45,2.08987661266498e-11,4.702930734938259e-12,2e+18
19297.261000000002,69.751,1.68348793208387e-11,3.812748456841e-12,2e+18
19444.18,103.359,1.4371087913482302e-11,3.23742433814978e-12,2e+18
19596.542,38.753,2.91137060522879e-11,6.54460957728672e-12,2e+18
19724.601000000002,103.757,1.28024774922658e-11,2.8840586853899303e-12,2e+18
19899.667,46.535,1.43987116864085e-11,3.24770858537089e-12,2e+18
19998.34,33.111,1.7026269517787902e-11,3.81130607774483e-12,2e+18
20134.313000000002,66.952,1.16432218794725e-11,2.43923440356025e-12,2e+18
24136.277000000002,136.179,5.47116995408305e-12,1.33498519213462e-12,2e+18
24374.42,113.664,9.616978285354212e-12,2.1684415157483303e-12,2e+18
24595.178,146.14600000000002,5.85509747786879e-12,1.53932965946321e-12,2e+18
24941.187,126.087,4.57627713676442e-12,1.20103801965061e-12,2e+18
25200.132999999998,127.902,7.742990802649361e-12,1.7492765341861101e-12,2e+18
25478.16,130.695,6.06766614747347e-12,1.4794133493235e-12,2e+18
25807.991,161.045,6.8298170313175095e-12,1.4531920944949298e-12,2e+18
35957.719,116.904,7.09629697845363e-12,1.60219801820377e-12,2e+18
36163.742999999995,91.406,6.53792374189034e-12,1.70151905479257e-12,2e+18
36345.128,88.04,8.79197855281716e-12,1.9791319348186102e-12,2e+18
36546.092000000004,70.111,8.48589664537287e-12,1.9059700468903702e-12,2e+18
36708.942,72.744,9.125269529796538e-12,2.05875957576931e-12,2e+18
36903.552,76.212,5.91248884071188e-12,1.49332148015551e-12,2e+18
37093.108,107.29899999999999,4.85186016304957e-12,1.2664946130075801e-12,2e+18
37365.177,240.232,3.93031276095901e-12,9.18968628869353e-13,2e+18
42121.467000000004,143.113,3.5705614522704396e-12,9.75482521298145e-13,2e+18
42345.565,64.439,1.05323423985655e-11,2.30278899732595e-12,2e+18
42503.795999999995,111.807,5.2389150522908396e-12,1.36745894314526e-12,2e+18
42699.72,108.947,5.59519546928022e-12,1.4538375278135e-12,2e+18
43032.96,348.68800000000005,4.42310527449155e-12,8.939097971644971e-13,2e+18
47937.344000000005,163.707,2.8754312124860897e-12,7.56049397312817e-13,2e+18
48306.874,96.867,3.90102080796092e-12,1.02196383347047e-12,2e+18
48512.422999999995,129.513,4.51272231918376e-12,1.18005768462033e-12,2e+18
48879.958,270.95799999999997,4.11453270156802e-12,7.71596949376894e-13,2e+18
54220.864,130.003,4.75064799729758e-12,1.24351063973057e-12,2e+18
54603.143,315.313,3.4791044429276604e-12,7.40761502968297e-13,2e+18
58888.02099999999,263.47900000000004,3.10789140690013e-12,7.6090346807649e-13,2e+18
70365.281,216.956,3.11133126441074e-12,8.09347449176105e-13,2e+18
70789.273,251.803,2.78667787906524e-12,7.2258067782501e-13,2e+18
71807.117,421.027,2.0912980226838998e-12,4.666035717172199e-13,2e+18
76194.608,276.529,2.27215775684175e-12,5.97092341092383e-13,2e+18
76694.628,212.782,2.87333197781607e-12,7.497446079854571e-13,2e+18
77389.09,585.021,1.81977723813566e-12,4.49672781474625e-13,2e+18
81959.62599999999,224.83599999999998,2.2346948970048396e-12,5.849571108774791e-13,2e+18
82444.432,208.898,2.3059816205748595e-12,6.03270346572532e-13,2e+18
83053.983,704.461,2.00893792772015e-12,4.14004922081375e-13,2e+18
87846.219,359.327,1.53726961373068e-12,4.039833803953e-13,2e+18
88566.69900000001,408.592,1.91717047063192e-12,4.492168377848e-13,2e+18
93969.531,923.0369999999999,1.27409792567372e-12,2.5605132464760396e-13,2e+18
123218.489,4677.928,6.29357175429009e-13,1.7977825156605802e-13,2e+18
128933.653,949.502,8.521065314039359e-13,1.95073356229481e-13,2e+18
134352.705,1230.156,9.810430032776128e-13,2.2273985087894699e-13,2e+18
204187.78600000002,10625.008,4.81348213356364e-13,8.53560793399232e-14,2e+18
262923.982,5295.361999999999,3.25792321304686e-13,8.0462783154065e-14,2e+18
274681.39,4737.125,4.10924168500481e-13,1.1056340518465999e-13,2e+18
508680.429,386935.69899999996,5.3931020184044893e-14,1.5531861974471202e-14,2e+18
